State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
chhattisgarh,2023,3,Peer-to-peer payments,97060888,251466237009.0
chhattisgarh,2023,3,Recharge & bill payments,25011103,13000613447.0
chhattisgarh,2023,3,Financial Services,95807,131864372.0
chhattisgarh,2023,3,Others,182186,135322503.0
chhattisgarh,2023,4,Merchant payments,185440451,102326470529.0
chhattisgarh,2023,4,Peer-to-peer payments,110795079,287452814383.0
chhattisgarh,2023,4,Recharge & bill payments,25330600,13898322691.0
chhattisgarh,2023,4,Financial Services,115404,174278673.0
chhattisgarh,2023,4,Others,194798,133148269.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Peer-to-peer payments,768921,2379220756.2230163
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Merchant payments,705821,367522132.38063604
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Recharge & bill payments,442926,213177144.73200977
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Financial Services,2243,1930008.9716834244
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Others,5333,3782868.8861592514
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Peer-to-peer payments,843550,2512913026.4279447
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Merchant payments,802899,430487473.930562
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Recharge & bill payments,471136,208762964.0120024
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Financial Services,1826,1763792.6506419359
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Others,5672,3741204.3977531465
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Merchant payments,1312241,706774071.9381688
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Peer-to-peer payments,1262732,3339347400.0643554
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Recharge & bill payments,544322,253199754.8745275
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Financial Services,2065,2252116.636459231
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Others,8110,4365759.277996017
