State,Year,Quarter,District,Transaction_Count,Transaction_Amount
arunachal-pradesh,2022,1,dibang valley district,2927,15694666.656907387
arunachal-pradesh,2022,1,west kameng district,240672,705607894.004217
arunachal-pradesh,2022,1,shi yomi district,2903,19772208.730185587
arunachal-pradesh,2022,1,east siang district,201945,501600929.04419017
arunachal-pradesh,2022,1,upper subansiri district,61408,250527144.28565046
arunachal-pradesh,2022,1,east kameng district,36452,157804149.97029108
arunachal-pradesh,2022,1,lohit district,169954,393361044.4830233
arunachal-pradesh,2022,1,lepa rada district,33504,116144345.41984761
arunachal-pradesh,2022,1,tawang district,86721,346661566.51465106
arunachal-pradesh,2022,1,namsai district,117173,256004887.5750422
arunachal-pradesh,2022,2,lower dibang valley district,104498,271945446.39483917
arunachal-pradesh,2022,2,lower subansiri district,94109,287993729.7711809
arunachal-pradesh,2022,2,longding district,53158,160788732.81339836
arunachal-pradesh,2022,2,west siang district,121772,375530981.6496287
arunachal-pradesh,2022,2,kamle district,15014,44602505.00778252
arunachal-pradesh,2022,2,upper siang district,48672,156044689.03497896
arunachal-pradesh,2022,2,tirap district,77626,237900567.7289177
arunachal-pradesh,2022,2,papum pare district,1444757,3269917296.559577
arunachal-pradesh,2022,2,kurung kumey district,11548,48364588.79678346
arunachal-pradesh,2022,2,anjaw district,29854,100406271.77969864
arunachal-pradesh,2022,2,siang district,28364,83637271.88783586
arunachal-pradesh,2022,2,lower siang district,35467,92504503.65485632
arunachal-pradesh,2022,2,kra daadi district,15115,64226643.96066442
arunachal-pradesh,2022,2,changlang district,203732,513287861.1029648
arunachal-pradesh,2022,2,pakke kessang district,10309,27595370.58732931
arunachal-pradesh,2022,2,dibang valley district,3179,17089738.718757033
arunachal-pradesh,2022,2,west kameng district,327925,893486447.5566866
arunachal-pradesh,2022,2,shi yomi district,3929,28306519.496313594
arunachal-pradesh,2022,2,east siang district,261162,604825118.1911322
arunachal-pradesh,2022,2,upper subansiri district,69169,253134359.51780328
arunachal-pradesh,2022,2,east kameng district,45363,191450485.63458514
arunachal-pradesh,2022,2,lohit district,226199,502322813.6384014
arunachal-pradesh,2022,2,lepa rada district,40528,118031124.67116562
