State,Year,Quarter,District,RegisteredUser
arunachal-pradesh,2021,3,kurung kumey district,1509
arunachal-pradesh,2021,3,siang district,3396
arunachal-pradesh,2021,3,kra daadi district,1475
arunachal-pradesh,2021,3,changlang district,23328
arunachal-pradesh,2021,3,pakke kessang district,770
arunachal-pradesh,2021,3,east siang district,22538
arunachal-pradesh,2021,3,upper subansiri district,7652
arunachal-pradesh,2021,3,tawang district,13650
arunachal-pradesh,2021,3,namsai district,12140
arunachal-pradesh,2021,4,lower subansiri district,10187
arunachal-pradesh,2021,4,tirap district,9331
arunachal-pradesh,2021,4,papum pare district,104806
arunachal-pradesh,2021,4,anjaw district,3342
arunachal-pradesh,2021,4,lower siang district,4550
arunachal-pradesh,2021,4,dibang valley district,621
arunachal-pradesh,2021,4,west kameng district,26237
arunachal-pradesh,2021,4,shi yomi district,498
arunachal-pradesh,2021,4,east kameng district,5027
arunachal-pradesh,2021,4,lohit district,17980
arunachal-pradesh,2021,4,lepa rada district,3810
arunachal-pradesh,2021,4,lower dibang valley district,10679
arunachal-pradesh,2021,4,longding district,5345
arunachal-pradesh,2021,4,west siang district,13555
arunachal-pradesh,2021,4,kamle district,1069
arunachal-pradesh,2021,4,upper siang district,4850
arunachal-pradesh,2021,4,kurung kumey district,1633
arunachal-pradesh,2021,4,siang district,3675
arunachal-pradesh,2021,4,kra daadi district,1593
arunachal-pradesh,2021,4,changlang district,25155
arunachal-pradesh,2021,4,pakke kessang district,835
arunachal-pradesh,2021,4,east siang district,24208
arunachal-pradesh,2021,4,upper subansiri district,8201
arunachal-pradesh,2021,4,tawang district,14665
arunachal-pradesh,2021,4,namsai district,13092
arunachal-pradesh,2022,1,lower subansiri district,10854
arunachal-pradesh,2022,1,tirap district,9972
arunachal-pradesh,2022,1,papum pare district,111271
arunachal-pradesh,2022,1,anjaw district,3560
arunachal-pradesh,2022,1,lower siang district,4882
arunachal-pradesh,2022,1,dibang valley district,656
arunachal-pradesh,2022,1,west kameng district,27860
arunachal-pradesh,2022,1,shi yomi district,540
arunachal-pradesh,2022,1,east kameng district,5355
arunachal-pradesh,2022,1,lohit district,19214
arunachal-pradesh,2022,1,lepa rada district,4049
arunachal-pradesh,2022,1,lower dibang valley district,11401
arunachal-pradesh,2022,1,longding district,5700
arunachal-pradesh,2022,1,west siang district,14420
arunachal-pradesh,2022,1,kamle district,1144
arunachal-pradesh,2022,1,upper siang district,5146
arunachal-pradesh,2022,1,kurung kumey district,1744
arunachal-pradesh,2022,1,siang district,3942
arunachal-pradesh,2022,1,kra daadi district,1701
arunachal-pradesh,2022,1,changlang district,26904
arunachal-pradesh,2022,1,pakke kessang district,887
arunachal-pradesh,2022,1,east siang district,25763
arunachal-pradesh,2022,1,upper subansiri district,8731
arunachal-pradesh,2022,1,tawang district,15589
arunachal-pradesh,2022,1,namsai district,14054
arunachal-pradesh,2022,2,lower subansiri district,11479
arunachal-pradesh,2022,2,tirap district,10538
arunachal-pradesh,2022,2,papum pare district,117568
arunachal-pradesh,2022,2,anjaw district,3769
arunachal-pradesh,2022,2,lower siang district,5161
arunachal-pradesh,2022,2,dibang valley district,701
arunachal-pradesh,2022,2,west kameng district,29424
arunachal-pradesh,2022,2,shi yomi district,575
arunachal-pradesh,2022,2,east kameng district,5680
arunachal-pradesh,2022,2,lohit district,20325
arunachal-pradesh,2022,2,lepa rada district,4265
arunachal-pradesh,2022,2,lower dibang valley district,12040
arunachal-pradesh,2022,2,longding district,6034
arunachal-pradesh,2022,2,west siang district,15231
